age,gender,city
41,m,lille
33,m,lille
18,m,lille
48,m,nantes
20,f,marseille
20,m,bordeaux
7,f,bordeaux
55,m,lyon
35,m,lille
87,f,toulouse
11,f,lyon
43,f,marseille
84,m,lille
67,m,paris
75,m,toulouse
75,f,lille
16,f,marseille
14,m,bordeaux
19,f,lyon
80,f,toulouse
14,m,nantes
55,m,paris
70,m,paris
13,m,paris
38,m,lyon
8,m,lille
40,m,lyon
28,m,toulouse
39,f,lille
69,f,toulouse
93,f,lille
45,m,bordeaux
27,f,paris
45,m,lille
61,f,paris
51,f,marseille
63,m,lille
80,m,marseille
6,m,bordeaux
84,f,bordeaux
62,f,nantes
8,m,toulouse
39,m,paris
7,m,toulouse
68,f,marseille
24,f,toulouse
60,m,lille
38,m,lille
61,m,bordeaux
96,m,nantes
12,m,toulouse
51,f,nantes
82,f,paris
64,f,paris
94,f,lyon
96,f,lyon
93,f,bordeaux
8,m,toulouse
84,m,paris
24,m,lille
42,m,nantes
82,m,lille
15,f,nantes
72,m,toulouse
70,f,lyon
30,m,lyon
24,m,marseille
52,m,bordeaux
60,m,nantes
66,f,lyon
74,m,toulouse
81,m,lyon
76,f,bordeaux
35,m,bordeaux
47,m,nantes
78,f,lille
92,f,toulouse
16,f,lille
13,f,bordeaux
7,f,lille
95,m,nantes
11,m,paris
28,f,nantes
7,f,lille
54,m,bordeaux
31,f,lille
52,m,bordeaux
51,f,bordeaux
38,f,nantes
28,f,marseille
54,m,lille
76,f,bordeaux
77,f,lyon
50,f,paris
52,m,marseille
29,m,paris
64,f,paris
51,m,nantes
39,f,bordeaux
43,f,lyon
93,f,toulouse
17,m,marseille
64,m,lyon
10,m,marseille
51,f,paris
11,f,toulouse
61,m,bordeaux
13,m,nantes
51,f,lyon
55,m,bordeaux
11,m,lyon
82,m,marseille
25,m,paris
44,m,lille
36,m,paris
11,m,bordeaux
31,f,bordeaux
73,f,bordeaux
86,m,bordeaux
58,f,paris
62,m,paris
27,f,toulouse
57,f,marseille
90,m,toulouse
41,f,marseille
36,m,bordeaux
24,m,bordeaux
37,m,toulouse
22,f,toulouse
77,m,lyon
7,m,nantes
72,m,marseille
86,m,bordeaux
95,f,lyon
92,f,toulouse
45,f,bordeaux
65,m,marseille
65,m,lyon
50,f,marseille
84,m,paris
91,f,lyon
47,m,nantes
38,m,marseille
36,f,bordeaux
44,f,paris
14,m,paris
96,m,paris
82,f,paris
12,f,toulouse
8,m,toulouse
10,m,bordeaux
48,m,nantes
58,m,nantes
100,m,toulouse
29,m,bordeaux
63,m,lille
68,f,lille
79,m,nantes
79,m,toulouse
81,m,paris
29,f,bordeaux
46,m,lyon
93,m,lille
57,m,lille
34,m,toulouse
57,f,marseille
92,f,bordeaux
92,m,bordeaux
90,m,paris
53,f,toulouse
8,f,toulouse
81,f,paris
97,f,nantes
77,m,toulouse
84,f,bordeaux
24,m,lille
41,m,marseille
43,m,lyon
92,m,bordeaux
14,f,toulouse
22,m,marseille
92,f,toulouse
18,m,paris
49,f,marseille
34,m,lille
27,m,paris
82,m,paris
74,f,bordeaux
23,m,marseille
67,m,marseille
52,f,lille
88,f,lyon
6,m,nantes
15,f,toulouse
9,f,bordeaux
100,m,paris
62,m,toulouse
94,m,nantes
81,m,toulouse
37,m,bordeaux
100,m,nantes
75,f,lyon
30,m,nantes
50,f,lille
82,f,marseille
42,m,paris
45,m,lille
83,m,paris
74,f,marseille
12,f,bordeaux
21,f,bordeaux
75,f,lyon
84,f,nantes
69,f,lyon
96,m,lille
96,f,nantes
32,f,nantes
47,m,lille
27,m,lille
25,f,marseille
73,f,nantes
33,m,paris
100,f,lyon
16,f,marseille
35,f,lille
93,f,toulouse
13,f,toulouse
49,m,lyon
94,f,toulouse
78,f,paris
22,m,paris
56,f,marseille
23,f,toulouse
76,f,toulouse
80,f,marseille
46,m,nantes
71,f,paris
99,f,paris
72,f,bordeaux
76,f,paris
89,f,lyon
36,m,marseille
22,f,paris
14,m,lyon
25,m,paris
63,f,nantes
45,f,marseille
50,f,lille
75,m,toulouse
82,m,bordeaux
24,f,bordeaux
48,f,bordeaux
75,m,marseille
15,m,lille
31,m,lille
97,f,lyon
54,m,lyon
69,f,nantes
9,m,nantes
93,f,nantes
82,f,paris
60,f,bordeaux
64,m,lille
97,m,paris
60,f,toulouse
58,f,toulouse
66,m,lyon
65,f,nantes
42,f,lille
13,f,bordeaux
78,f,paris
68,f,paris
45,m,toulouse
17,m,nantes
52,f,paris
41,f,lyon
61,f,marseille
95,m,toulouse
10,f,paris
32,m,paris
40,f,marseille
22,f,paris
53,m,marseille
89,m,lyon
81,f,toulouse
70,m,bordeaux
43,f,toulouse
19,f,bordeaux
87,f,lyon
70,f,toulouse
32,f,marseille
82,f,toulouse
47,f,paris
51,f,marseille
14,f,toulouse
72,f,nantes
75,m,paris
43,m,toulouse
85,f,marseille
21,m,bordeaux
47,m,lyon
37,f,toulouse
63,m,marseille
82,f,nantes
84,m,bordeaux
19,f,bordeaux
47,f,lyon
57,m,marseille
35,m,paris
30,m,paris
53,m,lille
32,m,lille
45,f,bordeaux
64,f,toulouse
67,m,lille
29,f,bordeaux
17,m,lille
88,m,toulouse
40,f,nantes
33,m,paris
55,f,bordeaux
22,f,paris
46,m,toulouse
78,m,paris
24,f,lyon
88,m,lille
74,m,lyon
81,m,lyon
25,m,bordeaux
33,m,marseille
73,f,toulouse
24,f,paris
100,m,lyon
20,f,nantes
17,m,nantes
12,f,paris
82,m,bordeaux
12,f,lille
14,f,marseille
61,f,nantes
11,m,paris
31,m,toulouse
27,m,nantes
84,m,lille
51,m,lyon
74,m,marseille
66,f,toulouse
59,f,lille
21,f,marseille
5,m,marseille
46,m,paris
21,m,lyon
29,m,nantes
22,m,lille
44,f,lyon
48,m,marseille
25,m,paris
25,m,bordeaux
18,m,lille
20,m,paris
83,f,toulouse
60,f,nantes
42,f,paris
64,m,marseille
53,m,toulouse
18,f,marseille
6,f,bordeaux
86,f,bordeaux
35,f,paris
85,f,bordeaux
84,m,nantes
86,m,marseille
51,m,lille
69,m,lille
66,f,nantes
8,f,paris
25,f,nantes
